Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF440	ENST00000304060.5	zinc finger protein 440 	12	0	0	0	0	6	6	0	0	0	hsa-miR-199a-5p	0.0731	0.5037	2.5890	-6.56	-6.56	0.47	2011
ZNF844	ENST00000439326.3	zinc finger protein 844 	11	0	0	0	0	6	4	2	0	0	hsa-miR-199b-5p	0.0484	0.3496	2.2352	-6.56	-6.56	0.36	2011
ZNF776	ENST00000317178.5	zinc finger protein 776 	1447	1	1	0	0	6	3	2	1	0	hsa-miR-199a-5p	0.0750	0.5224	2.7911	-4.68	-4.68	0.68	2009, 2011
ZNF700	ENST00000482090.1	zinc finger protein 700 	105	0	0	0	0	3	2	1	0	0	hsa-miR-199b-5p	0.0545	0.3738	1.9486	-4.01	-4.01	0.27	2009
ZNF419	ENST00000415379.2	zinc finger protein 419 	42	0	0	0	0	3	3	0	0	0	hsa-miR-199a-5p	0.0462	0.3195	1.6949	-3.90	-3.90	< 0.1	2011
ZNF439	ENST00000304030.2	zinc finger protein 439 	64	1	1	0	0	3	2	1	0	0	hsa-miR-199a-5p	0.0416	0.2922	1.6283	-3.53	-3.53	0.44	2009
ZNF544	ENST00000599227.1	zinc finger protein 544 	173	5	5	0	0	5	3	2	0	0	hsa-miR-199a-5p	0.0638	0.4538	2.6421	-3.45	-3.65	0.14	2011
ZNF791	ENST00000446165.1	zinc finger protein 791 	242	8	7	1	0	3	2	1	0	1	hsa-miR-199b-5p	0.0841	0.5912	3.2455	-3.04	-3.26	< 0.1	NULL
ZNF788	ENST00000430298.2	zinc finger family member 788 	16	2	1	1	0	9	7	2	0	0	hsa-miR-199b-5p	0.0708	0.4960	2.7306	-2.79	-2.79	0.25	NULL
ZNF563	ENST00000293725.5	zinc finger protein 563 	5	0	0	0	0	3	2	0	1	0	hsa-miR-199b-5p	0.0464	0.3159	1.5945	-2.74	-2.74	0.18	2009, 2011
ZNF627	ENST00000588174.1	zinc finger protein 627 	105	3	2	1	0	4	4	0	0	0	hsa-miR-199b-5p	0.0541	0.3797	2.0650	-2.51	-2.51	< 0.1	NULL
ZIK1	ENST00000307468.4	zinc finger protein interacting with K protein 1 	64	5	5	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0603	0.4054	1.9342	-2.44	-2.44	< 0.1	NULL
ZNF772	ENST00000425074.3	zinc finger protein 772 	22	5	5	0	0	1	0	0	1	1	hsa-miR-199b-5p	0.0438	0.3071	1.6684	-1.99	-1.99	< 0.1	NULL
ZNF773	ENST00000282292.4	zinc finger protein 773 	7	0	0	0	0	2	2	0	0	0	hsa-miR-199b-5p	0.0369	0.2560	1.3840	-1.66	-2.62	< 0.1	NULL
ZNF763	ENST00000590798.1	Uncharacterized protein; Zinc finger protein 763  	5	0	0	0	0	8	7	0	1	0	hsa-miR-199a-5p	0.0198	0.1402	0.8039	-1.60	-4.50	0.54	NULL
ZNF709	ENST00000397732.3	zinc finger protein 709 	90	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0415	0.2826	1.4795	-1.57	-1.57	0.25	NULL
ZNF584	ENST00000599238.1	zinc finger protein 584 	282	3	2	1	0	2	1	0	1	0	hsa-miR-199b-5p	0.0401	0.2822	1.5472	-1.56	-1.56	< 0.1	NULL
ZNF625	ENST00000455799.1	zinc finger protein 625 	8	3	1	2	0	5	5	0	0	0	hsa-miR-199b-5p	0.0323	0.2289	1.3130	-1.55	-2.78	< 0.1	NULL
ZNF586	ENST00000396150.4	zinc finger protein 586 	137	0	0	0	0	3	3	0	0	0	hsa-miR-199b-5p	0.0577	0.3730	1.5545	-1.55	-1.55	< 0.1	NULL
ZNF551	ENST00000282296.5	zinc finger protein 551 	49	0	0	0	0	2	0	1	1	1	hsa-miR-199b-5p	0.0381	0.2731	1.6754	-1.47	-1.63	< 0.1	NULL
ZNF266	ENST00000361451.2	zinc finger protein 266 	16	0	0	0	0	1	0	0	1	2	hsa-miR-199a-5p	0.0183	0.1333	0.8954	-1.45	-1.45	< 0.1	NULL
ZNF256	ENST00000598928.1	zinc finger protein 256 	18	3	2	1	0	1	1	0	0	0	hsa-miR-199a-5p	0.0368	0.2554	1.3340	-1.44	-1.44	< 0.1	NULL
ZNF101	ENST00000592502.1	zinc finger protein 101 	409	0	0	0	0	3	2	0	1	0	hsa-miR-199a-5p	0.0286	0.2009	1.1404	-1.42	-1.42	< 0.1	NULL
ZNF547	ENST00000282282.3	zinc finger protein 547 	58	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0430	0.2907	1.4474	-1.41	-2.49	0.85	2007, 2009, 2011
ZNF468	ENST00000595646.1	zinc finger protein 468 	83	0	0	0	0	4	3	0	1	2	hsa-miR-199a-5p	0.0415	0.2923	1.6350	-1.37	-1.37	0.22	2009
ZNF83	ENST00000594682.2	zinc finger protein 83 	78	0	0	0	0	6	4	0	2	0	hsa-miR-199a-5p	0.0420	0.2986	1.7343	-1.36	-1.80	< 0.1	NULL
ZNF418	ENST00000595830.1	zinc finger protein 418 	8	0	0	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0528	0.3522	1.7409	-1.27	-1.27	< 0.1	NULL
ZNF195	ENST00000438262.2	zinc finger protein 195 	389	0	0	0	0	3	2	1	0	0	hsa-miR-199a-5p	0.0349	0.2427	1.2768	-1.13	-1.15	< 0.1	NULL
ZNF132	ENST00000254166.3	zinc finger protein 132 	31	0	0	0	0	3	1	0	2	0	hsa-miR-199b-5p	0.0512	0.3269	1.5312	-1.08	-1.63	< 0.1	NULL
MAP3K11	ENST00000309100.3	mitogen-activated protein kinase kinase kinase 11 	339	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0985	0.5458	1.5334	-1.03	-1.03	0.99	2003, 2005, 2007, 2009, 2011
LIN7C	ENST00000278193.2	lin-7 homolog C (C. elegans) 	1701	3	2	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0941	0.5605	1.9164	-1.02	-1.11	0.96	2005, 2007, 2009, 2011
ZNF558	ENST00000601372.1	zinc finger protein 558 	24	0	0	0	0	2	1	0	1	1	hsa-miR-199a-5p	0.0423	0.2919	1.4989	-1.00	-1.00	0.19	NULL
COMT	ENST00000361682.6	catechol-O-methyltransferase 	323	0	0	0	0	2	1	1	0	2	hsa-miR-199a-5p	0.0312	0.2087	0.9359	-1.00	-1.18	< 0.1	NULL
PVRL2	ENST00000252485.4	poliovirus receptor-related 2 (herpesvirus entry mediator B) 	494	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0234	0.1612	0.8043	-0.93	-0.93	0.78	2011
ZNF561	ENST00000326044.5	zinc finger protein 561 	156	3	2	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0329	0.2244	1.0804	-0.92	-0.92	< 0.1	NULL
DDR1	ENST00000446312.1	discoidin domain receptor tyrosine kinase 1 	195	3	3	0	0	1	0	0	1	3	hsa-miR-199a-5p	0.0649	0.4207	1.6783	-0.91	-0.91	0.89	2011
DAZ4	ENST00000382290.3	deleted in azoospermia 4 	5	0	0	0	0	8*	0	0	7	1	hsa-miR-199a-5p	0.0313	0.2271	1.4963	-0.90	-0.90	0.23	NULL
ZNF479	ENST00000331162.4	zinc finger protein 479 	5	0	0	0	0	1	1	0	0	0	hsa-miR-199b-5p	0.0544	0.3124	0.9622	-0.87	-0.87	< 0.1	NULL
RP11-763F8.1	ENST00000502368.1	Uncharacterized protein  	5	0	0	0	0	1	1	0	0	0	hsa-miR-199b-5p	0.0085	0.0597	0.3195	-0.86	-0.86	0.19	NULL
RP11-1396O13.13	ENST00000508324.1	Uncharacterized protein  	5	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0254	0.1658	0.6800	-0.85	-0.85	0.53	NULL
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	1	1	0	0	4	0	3	1	0	hsa-miR-199a-5p	0.0224	0.1614	1.0113	-0.85	-0.85	< 0.1	NULL
BCAM	ENST00000270233.6	basal cell adhesion molecule (Lutheran blood group) 	4647	2	2	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0737	0.3938	1.0666	-0.84	-0.84	0.99	2011
ZNF705A	ENST00000359286.4	zinc finger protein 705A 	5	0	0	0	0	2	1	0	1	0	hsa-miR-199a-5p	0.0173	0.1242	0.7680	-0.83	-0.83	< 0.1	NULL
SHOC2	ENST00000369452.4	soc-2 suppressor of clear homolog (C. elegans) 	437	2	0	0	2	0	0	0	0	3	hsa-miR-199a-5p	0.0476	0.3131	1.3872	-0.82	-0.90	0.96	NULL
HAPLN1	ENST00000274341.4	hyaluronan and proteoglycan link protein 1 	5	1	1	0	0	3	0	3	0	0	hsa-miR-199b-5p	0.1451	0.7855	2.3043	-0.81	-0.81	0.78	2011
ZFP2	ENST00000361362.2	ZFP2 zinc finger protein 	9	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0207	0.1437	0.7748	-0.81	-0.81	0.28	2009, 2011
TST	ENST00000403892.3	thiosulfate sulfurtransferase (rhodanese) 	61	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0552	0.2977	0.7602	-0.80	-0.91	0.48	2009, 2011
ZNF616	ENST00000330123.5	zinc finger protein 616 	45	0	0	0	0	4	2	1	1	0	hsa-miR-199a-5p	0.0275	0.1966	1.1833	-0.80	-0.81	< 0.1	NULL
MYRF	ENST00000278836.5	myelin regulatory factor 	131	3	3	0	0	0	0	0	0	3	hsa-miR-199a-5p	0.1018	0.6257	2.1671	-0.76	-0.76	> 0.99	2005, 2007, 2009, 2011
CELSR1	ENST00000262738.3	cadherin, EGF LAG seven-pass G-type receptor 1 	1359	2	2	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.1629	0.7904	1.7618	-0.76	-0.78	> 0.99	2005, 2007, 2009, 2011
GPR63	ENST00000229955.3	G protein-coupled receptor 63 	5	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.1016	0.5749	1.6224	-0.75	-0.75	0.81	NULL
CDCA7L	ENST00000356195.5	cell division cycle associated 7-like 	292	1	1	0	0	1	1	0	0	0	hsa-miR-199a-5p	0.0203	0.1368	0.6254	-0.75	-0.75	0.71	2007, 2009, 2011
NSG1	ENST00000421177.2	Neuron-specific protein family member 1  	25	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0793	0.3894	0.8324	-0.74	-0.74	0.73	2009, 2011
RAD23B	ENST00000358015.3	RAD23 homolog B (S. cerevisiae) 	1012	2	1	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0562	0.3404	1.1575	-0.74	-0.74	0.98	2005, 2007, 2009, 2011
